,symbol,timestamp,open,high,low,close,volume,trade_count,vwap
169,AAPL,2025-12-01 14:44:00+00:00,276.93,276.93,276.45,276.4801,126485.0,2756.0,276.602174
170,AAPL,2025-12-01 14:45:00+00:00,276.48,276.5699,276.2,276.55,129723.0,3080.0,276.371687
171,AAPL,2025-12-01 14:46:00+00:00,276.55,276.62,276.14,276.23,153620.0,2932.0,276.393936
172,AAPL,2025-12-01 14:47:00+00:00,276.24,276.78,276.16,276.7791,150374.0,2669.0,276.405048
173,AAPL,2025-12-01 14:48:00+00:00,276.78,276.88,276.7,276.805,179556.0,2658.0,276.789996
174,AAPL,2025-12-01 14:49:00+00:00,276.8399,276.89,276.64,276.78,114190.0,2220.0,276.729874
175,AAPL,2025-12-01 14:50:00+00:00,276.75,277.0,276.63,276.7317,102144.0,2333.0,276.837914
176,AAPL,2025-12-01 14:51:00+00:00,276.73,277.0453,276.73,277.0453,81372.0,2308.0,276.906005
177,AAPL,2025-12-01 14:52:00+00:00,277.05,277.38,277.02,277.21,96450.0,2341.0,277.219587
178,AAPL,2025-12-01 14:53:00+00:00,277.223,277.3,277.12,277.14,70950.0,2110.0,277.216103
179,AAPL,2025-12-01 14:54:00+00:00,277.14,277.26,277.07,277.1685,64012.0,2076.0,277.159403
180,AAPL,2025-12-01 14:55:00+00:00,277.17,277.43,277.15,277.41,125478.0,2220.0,277.31724
181,AAPL,2025-12-01 14:56:00+00:00,277.4045,277.62,277.38,277.46,109311.0,2230.0,277.503317
182,AAPL,2025-12-01 14:57:00+00:00,277.47,277.64,277.33,277.57,64188.0,1783.0,277.511315
183,AAPL,2025-12-01 14:58:00+00:00,277.568,277.63,277.3703,277.475,50910.0,1625.0,277.546483
184,AAPL,2025-12-01 14:59:00+00:00,277.48,277.61,277.4,277.57,93430.0,2087.0,277.483421
185,AAPL,2025-12-01 15:00:00+00:00,277.61,277.6739,277.38,277.62,82580.0,2491.0,277.531987
186,AAPL,2025-12-01 15:01:00+00:00,277.615,277.72,277.48,277.48,63518.0,1930.0,277.60057
187,AAPL,2025-12-01 15:02:00+00:00,277.48,277.48,277.25,277.25,154125.0,2056.0,277.367799
188,AAPL,2025-12-01 15:03:00+00:00,277.25,277.25,277.1,277.15,52213.0,1935.0,277.172937
189,AAPL,2025-12-01 15:04:00+00:00,277.12,277.21,277.04,277.125,49543.0,1907.0,277.130475
190,AAPL,2025-12-01 15:05:00+00:00,277.125,277.252,277.05,277.13,54454.0,1882.0,277.127946
191,AAPL,2025-12-01 15:06:00+00:00,277.1473,277.23,277.08,277.1,60411.0,2191.0,277.138342
192,AAPL,2025-12-01 15:07:00+00:00,277.09,277.15,277.01,277.03,74841.0,2198.0,277.083861
193,AAPL,2025-12-01 15:08:00+00:00,277.02,277.055,276.88,277.0,119789.0,2237.0,276.985797
194,AAPL,2025-12-01 15:09:00+00:00,277.0,277.12,276.94,277.04,57710.0,1993.0,277.030056
195,AAPL,2025-12-01 15:10:00+00:00,277.01,277.14,277.0,277.09,46424.0,1891.0,277.08768
196,AAPL,2025-12-01 15:11:00+00:00,277.09,277.23,277.055,277.22,83136.0,2054.0,277.132894
